Position Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status
1099,0,5.038048094594137,2026-02-25 04:50:00,65472.5,131.94144154933747,2026-02-25 05:20:00,65236.0,131.46484219957725,-1454.9046581204132,-0.004410758715491227,Long,Closed
1100,0,5.06191426702066,2026-02-25 06:55:00,64876.5,131.35971237771446,2026-02-25 07:25:00,65120.5,131.85375521020754,971.8936135651006,0.0029594876419042748,Long,Closed
1101,0,5.070167957759112,2026-02-25 07:45:00,64962.5,131.74831438233377,2026-02-25 08:10:00,65017.0,131.85884404384967,12.716995271691417,3.8609967288941954e-05,Long,Closed
1102,0,5.050151372094503,2026-02-25 08:20:00,65222.5,131.75339914654614,2026-02-25 10:15:00,65537.0,132.38870818918298,1324.1304991879783,0.004020026831231594,Long,Closed
1103,0,5.055601231008625,2026-02-25 12:00:00,65414.0,132.28283957007807,2026-02-25 19:35:00,68864.5,139.2605803891174,17172.80862763606,0.05192754761977557,Long,Closed
1104,0,5.02321980529268,2026-02-25 20:50:00,69253.0,139.1492164703668,2026-02-25 22:05:00,68971.0,138.58259727633657,-1694.2797988392656,-0.004870396950312678,Long,Closed
1105,0,5.074382357603053,2026-02-26 00:40:00,68221.0,138.4717755272286,2026-02-26 02:00:00,68009.0,138.04146790329042,-1352.2823032423541,-0.003906304510341394,Long,Closed
1106,0,5.061505224930287,2026-02-26 03:10:00,68127.5,137.93107888457598,2026-02-26 05:25:00,68398.0,138.47873374991272,1092.727350709118,0.0031689082969431244,Long,Closed
1107,0,5.083657077190608,2026-02-26 08:50:00,68045.5,138.36799505836098,2026-02-26 10:55:00,68290.5,138.8661934519541,968.2617954014213,0.0027990917841740153,Long,Closed
1108,0,5.095035688404924,2026-02-26 12:40:00,68083.5,138.75514491659123,2026-02-26 13:15:00,68004.0,138.5931227817154,-682.4036049264787,-0.0019672167265195406,Long,Closed
1109,0,5.146242302524638,2026-02-26 16:20:00,67273.5,138.4822926155175,2026-02-26 16:40:00,67028.5,137.97796086990908,-1537.2896176040003,-0.0044403933198064564,Long,Closed
1110,0,5.144045558683745,2026-02-26 18:30:00,67003.5,137.86762263649143,2026-02-26 20:45:00,67418.0,138.7205053901363,1855.6187560478045,0.00538376950457822,Long,Closed
1111,0,5.138064772162835,2026-02-26 22:00:00,67442.5,138.60957335861167,2026-02-27 00:05:00,67539.5,138.80893027179673,220.97377926941,0.0006376869184862578,Long,Closed
1112,0,5.147178381107553,2026-02-27 01:55:00,67366.0,138.69792752864305,2026-02-27 03:15:00,67184.0,138.32321294253194,-1213.8076058327147,-0.003500578927054994,Long,Closed
1113,0,5.0858704662938266,2026-02-27 08:10:00,67939.5,138.21259861788712,2026-02-27 09:45:00,67434.5,137.18525278371644,-2843.762436879986,-0.008230110613118966,Long,Closed
1114,0,5.209937836871262,2026-02-27 13:35:00,65776.0,137.07554846321,2026-02-27 14:55:00,65876.0,137.2839459766925,246.63428924722245,0.0007197032352225923,Long,Closed
1115,0,5.183738539709496,2026-02-27 15:50:00,66156.0,137.17416273319395,2026-02-27 16:10:00,65907.0,136.65786237465352,-1564.5829214954647,-0.004562325412660803,Long,Closed
1116,0,5.169944714439819,2026-02-27 16:15:00,66030.0,136.548579797789,2026-02-27 16:25:00,65992.0,136.46999663812502,-469.4764755846646,-0.0013752657882781783,Long,Closed
1117,0,5.203381806356979,2026-02-27 18:15:00,65515.5,136.36086429376155,2026-02-27 19:00:00,65367.0,136.05178341445466,-1045.1148459522653,-0.0030657325365754523,Long,Closed
1118,0,5.183163875997458,2026-02-27 20:10:00,65569.5,135.9429855068447,2026-02-27 22:05:00,65479.0,135.75535497457503,-740.7746712592013,-0.002179662800539798,Long,Closed
1119,0,5.158967425853606,2026-02-27 23:10:00,65733.5,135.64679411490215,2026-02-28 00:55:00,65963.5,136.12141911811776,914.7942947133154,0.0026975773387999773,Long,Closed
1120,0,5.154060551746564,2026-02-28 01:00:00,65973.5,136.01256552425912,2026-02-28 01:05:00,65858.0,135.7744479267701,-867.0810071777512,-0.0025500026525801796,Long,Closed
1121,0,5.149547993519876,2026-02-28 01:10:00,65863.0,135.66587179887574,2026-02-28 01:35:00,65812.5,135.56185092941075,-531.2798964010543,-0.0015664363906897946,Long,Closed
1122,0,5.136688363624849,2026-02-28 02:30:00,65924.5,135.45344481110806,2026-02-28 03:35:00,65785.0,135.16681760042428,-987.1882891372009,-0.002915210581801897,Long,Closed
1123,0,5.307285006265026,2026-02-28 08:05:00,63619.5,135.05872738239123,2026-02-28 08:30:00,63553.0,134.9175536012645,-622.9107339002676,-0.0018448588876050606,Long,Closed
1124,0,5.2977891849038805,2026-02-28 09:40:00,63615.99999999999,134.80966271471698,2026-02-28 10:10:00,63557.0,134.68463488997438,-582.0638595139935,-0.0017270686619716888,Long,Closed
1125,0,5.2669926916329235,2026-02-28 10:20:00,63877.49999999999,134.5769302638946,2026-02-28 12:10:00,63949.0,134.72756625489353,107.28548093298662,0.0003188822355290579,Long,Closed
1126,0,5.254276854825049,2026-02-28 13:10:00,64052.5,134.61982729745796,2026-02-28 15:15:00,64344.0,135.23247597874519,1261.7693999052708,0.0037491339135864716,Long,Closed
1127,0,5.208628856815547,2026-02-28 15:55:00,64856.0,135.12433325505117,2026-02-28 21:30:00,66439.5,138.42347877295862,7974.315982739405,0.023605862217836424,Long,Closed
1128,0,5.170610033261645,2026-02-28 22:10:00,66874.5,138.31278426770587,2026-02-28 23:30:00,66940.0,138.44825425061381,61.91391866032981,0.00017905479667151643,Long,Closed
1129,0,5.121791508683594,2026-03-01 05:30:00,67524.0,138.3375399329234,2026-03-01 06:10:00,67110.5,137.49039561740415,-2393.688724390953,-0.006921299093655423,Long,Closed
1130,0,5.118649113246486,2026-03-01 07:45:00,67098.0,137.38044728024397,2026-03-01 12:00:00,66520.0,136.19701560526252,-3232.1566503419667,-0.009410819994634684,Long,Closed
1131,0,5.123374628547222,2026-03-01 18:20:00,66405.5,136.08810155838728,2026-03-01 19:20:00,65984.5,135.2253252709497,-2428.254145447733,-0.007137300374216008,Long,Closed
1132,0,5.144381810985535,2026-03-01 21:35:00,65662.5,135.11718826554716,2026-03-01 22:55:00,65283.5,134.3372999829897,-2219.1751946120366,-0.006569631067961148,Long,Closed
1133,0,5.098175894023737,2026-03-01 23:35:00,65822.5,134.22987311374163,2026-03-02 02:10:00,66105.0,134.80596698977567,1171.1988499581948,0.003490128755364854,Long,Closed
1134,0,5.051610587031585,2026-03-02 03:20:00,66661.0,134.69816533685662,2026-03-02 05:00:00,66760.5,134.89921943820886,233.03786863455676,0.0006920298225348201,Long,Closed
1135,0,5.059431235854766,2026-03-02 06:10:00,66604.0,134.79134321311722,2026-03-02 06:15:00,66306.0,134.18825900983447,-1776.6901105076345,-0.005272416071106637,Long,Closed
1136,0,5.078439183611098,2026-03-02 08:40:00,66005.0,134.0809513257118,2026-03-02 10:15:00,66164.5,134.40495574561461,541.5251427146159,0.0016155170062872846,Long,Closed
1137,0,5.063014596436861,2026-03-02 12:00:00,66313.0,134.29747477336787,2026-03-02 12:40:00,65977.0,133.6170056116459,-1969.087384787788,-0.00586485304540573,Long,Closed
